shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
237155.014237155,49.2270846,7.0207438,0
237155.014237155,49.2257493,7.0355784,1
237155.014237155,49.2375428,7.0561765,2
237155.014237155,49.2547174,7.0403373,3
237155.014237155,49.276422,7.0329183,4
237155.015237155,49.2270846,7.0207438,0
237155.015237155,49.2257493,7.0355784,1
237155.015237155,49.2375428,7.0561765,2
237155.015237155,49.2547174,7.0403373,3
237155.015237155,49.276422,7.0329183,4
237155.016237155,49.2270846,7.0207438,0
237155.016237155,49.2257493,7.0355784,1
237155.016237155,49.2375428,7.0561765,2
237155.016237155,49.2547174,7.0403373,3
237155.016237155,49.276422,7.0329183,4
237155.017237155,49.2270846,7.0207438,0
237155.017237155,49.2257493,7.0355784,1
237155.017237155,49.2375428,7.0561765,2
237155.017237155,49.2547174,7.0403373,3
237155.017237155,49.276422,7.0329183,4
237155.018237155,49.2270846,7.0207438,0
237155.018237155,49.2257493,7.0355784,1
237155.018237155,49.2375428,7.0561765,2
237155.018237155,49.2547174,7.0403373,3
237155.018237155,49.276422,7.0329183,4
237155.019237155,49.2270846,7.0207438,0
237155.019237155,49.2257493,7.0355784,1
237155.019237155,49.2375428,7.0561765,2
237155.019237155,49.2547174,7.0403373,3
237155.019237155,49.276422,7.0329183,4
237155.020237155,49.2270846,7.0207438,0
237155.020237155,49.2257493,7.0355784,1
237155.020237155,49.2375428,7.0561765,2
237155.020237155,49.2547174,7.0403373,3
237155.020237155,49.276422,7.0329183,4
237155.021237155,49.2270846,7.0207438,0
237155.021237155,49.2257493,7.0355784,1
237155.021237155,49.2375428,7.0561765,2
237155.021237155,49.2547174,7.0403373,3
237155.021237155,49.276422,7.0329183,4
237155.022237155,49.2270846,7.0207438,0
237155.022237155,49.2257493,7.0355784,1
237155.022237155,49.2375428,7.0561765,2
237155.022237155,49.2547174,7.0403373,3
237155.022237155,49.276422,7.0329183,4
237155.023237155,49.2270846,7.0207438,0
237155.023237155,49.2257493,7.0355784,1
237155.023237155,49.2375428,7.0561765,2
237155.023237155,49.2547174,7.0403373,3
237155.023237155,49.276422,7.0329183,4
237155.024237155,49.2270846,7.0207438,0
237155.024237155,49.2257493,7.0355784,1
237155.024237155,49.2375428,7.0561765,2
237155.024237155,49.2547174,7.0403373,3
237155.024237155,49.276422,7.0329183,4
237155.025237155,49.2270846,7.0207438,0
237155.025237155,49.2257493,7.0355784,1
237155.025237155,49.2375428,7.0561765,2
237155.025237155,49.2547174,7.0403373,3
237155.025237155,49.276422,7.0329183,4
237155.026237155,49.2270846,7.0207438,0
237155.026237155,49.2257493,7.0355784,1
237155.026237155,49.2375428,7.0561765,2
237155.026237155,49.2547174,7.0403373,3
237155.026237155,49.276422,7.0329183,4
237155.027237155,49.2270846,7.0207438,0
237155.027237155,49.2257493,7.0355784,1
237155.027237155,49.2375428,7.0561765,2
237155.027237155,49.2547174,7.0403373,3
237155.027237155,49.276422,7.0329183,4
237155.028237155,49.2270846,7.0207438,0
237155.028237155,49.2257493,7.0355784,1
237155.028237155,49.2375428,7.0561765,2
237155.028237155,49.2547174,7.0403373,3
237155.028237155,49.276422,7.0329183,4
237155.029237155,49.2270846,7.0207438,0
237155.029237155,49.2257493,7.0355784,1
237155.029237155,49.2375428,7.0561765,2
237155.029237155,49.2547174,7.0403373,3
237155.029237155,49.276422,7.0329183,4
237155.030237155,49.2270846,7.0207438,0
237155.030237155,49.2257493,7.0355784,1
237155.030237155,49.2375428,7.0561765,2
237155.030237155,49.2547174,7.0403373,3
237155.030237155,49.276422,7.0329183,4
237155.031237155,49.2270846,7.0207438,0
237155.031237155,49.2257493,7.0355784,1
237155.031237155,49.2375428,7.0561765,2
237155.031237155,49.2547174,7.0403373,3
237155.031237155,49.276422,7.0329183,4
237155.032237155,49.2270846,7.0207438,0
237155.032237155,49.2257493,7.0355784,1
